ID,Band0,Band1,Band2,Class
114,10.0,20.0,21.0,0
115,8.0,18.0,19.0,0
116,12.0,22.0,21.0,0
117,9.0,19.0,18.0,0
118,10.0,20.0,19.0,0
119,10.0,20.0,19.0,0
120,7.0,17.0,18.0,0
121,8.0,18.0,19.0,0
122,9.0,19.0,20.0,0
123,11.0,21.0,22.0,0
124,10.0,20.0,19.0,0
125,8.0,18.0,17.0,0
126,9.0,19.0,18.0,0
127,10.0,20.0,19.0,0
128,8.0,18.0,17.0,0
129,10.0,20.0,19.0,0
130,11.0,21.0,20.0,0
131,9.0,19.0,18.0,0
132,15.0,25.0,24.0,0
133,7.0,17.0,16.0,0
134,11.0,21.0,20.0,0
135,9.0,19.0,18.0,0
136,9.0,19.0,20.0,0
137,8.0,18.0,19.0,0
138,14.0,24.0,23.0,0
139,7.0,17.0,16.0,0
140,8.0,18.0,17.0,0
141,8.0,18.0,17.0,0
142,12.0,21.0,20.0,0
143,9.0,18.0,17.0,0
144,13.0,23.0,22.0,0
145,7.0,17.0,16.0,0
146,11.0,21.0,20.0,0
147,9.0,19.0,18.0,0
148,13.0,22.0,21.0,0
149,9.0,18.0,17.0,0
150,11.0,20.0,19.0,0
151,11.0,20.0,19.0,0
152,11.0,20.0,19.0,0
153,9.0,18.0,17.0,0
154,10.0,19.0,18.0,0
155,11.0,20.0,19.0,0
156,11.0,20.0,17.0,0
157,9.0,18.0,15.0,0
158,10.0,19.0,16.0,0
159,10.0,19.0,16.0,0
160,11.0,20.0,19.0,0
161,12.0,21.0,20.0,0
162,9.0,19.0,18.0,0
163,15.0,24.0,23.0,0
164,10.0,19.0,18.0,0
165,11.0,20.0,19.0,0
166,10.0,19.0,18.0,0
167,12.0,21.0,20.0,0
168,11.0,20.0,19.0,0
169,14.0,23.0,22.0,0
170,11.0,20.0,19.0,0
171,11.0,20.0,19.0,0
172,13.0,22.0,21.0,0
173,10.0,19.0,18.0,0
174,14.0,23.0,22.0,0
175,13.0,22.0,21.0,0
176,11.0,20.0,19.0,0
